Date,XOM,CVX,MRO,PSX,VLO,SLB,HAL,OXY,EQT
2022-12-30,0.01002286,0.00653981,0.01077076,-0.0002882,0.00426575,0.01034135,0.01227323,0.01133564,-0.00118168
2022-12-29,0.00753749,0.00754296,0.00749629,0.01900571,0.00770855,0.00587624,0.02053353,0.00321647,0.01098423
2022-12-28,-0.01656258,-0.01486245,-0.03946667,-0.02351001,-0.00842077,-0.01696553,-0.03077166,-0.03560221,-0.08137362
2022-12-27,0.01379836,0.01249211,0.00762393,0.00613852,0.0162696,0.00957844,0.00459419,0.00592456,0.00358374
2022-12-23,0.02610141,0.03044758,0.02733824,0.03335762,0.03894094,0.03065962,0.04045965,0.03419816,0.03398726
2022-12-22,-0.02038025,-0.01511073,-0.03821185,-0.0276651,-0.02525929,-0.03668033,-0.02862215,-0.03075204,-0.04579248
2022-12-21,0.0127592,0.01168796,0.02149837,0.00689357,0.00654239,0.02950628,0.03182386,0.02157102,0.01374025
2022-12-20,0.01434934,0.01628995,0.00442969,0.01997606,0.0179648,0.03800044,0.0370211,-0.00064113,0.00083045
2022-12-19,0.00447897,0.00685177,-0.01103764,-0.00029814,0.00284424,0.00907173,0.00584065,-0.00192092,-0.03081362
2022-12-16,-0.00704295,-0.01365691,-0.01920697,-0.0082134,-0.00459694,-0.01467511,-0.02316067,-0.01002475,-0.0262371
2022-12-15,-0.00962726,-0.0075138,0.01409747,0.00187423,0.00158565,-0.00636565,0.00382305,-0.00819935,0.01104693
2022-12-14,-0.00739323,-0.00693925,-0.00761563,-0.00835755,-0.00665948,-0.01221931,-0.01223673,-0.009378,0.01868714
2022-12-13,0.01087477,0.02202373,0.01822872,0.00058766,-0.00107799,0.03894651,0.07577256,0.00389682,0.00540396
2022-12-12,0.02432978,0.01036279,0.03786769,0.04069137,0.05109266,0.04434993,0.03833481,0.02258645,0.03417252
2022-12-09,-0.00846322,-0.03244414,-0.0252796,-0.02916245,-0.01943486,-0.06091262,-0.05481631,-0.01757626,-0.00056054
2022-12-08,0.00740139,0.00589495,-0.0210146,-0.02069614,-0.02775496,0.00240674,-0.00514875,-0.00375999,-0.02872332
2022-12-07,-0.00221655,0.00296056,-0.00145826,-0.00067931,0.01112749,-0.02145494,-0.03228351,-0.00296667,-0.00488866
2022-12-06,-0.02818959,-0.02610815,-0.03823943,-0.01032678,-0.01751358,-0.00977907,-0.01698206,-0.03402627,-0.0043255
2022-12-05,-0.02778085,-0.025002,-0.04188735,-0.02381404,-0.0492782,-0.02707279,-0.05418157,-0.02749672,-0.0743199
2022-12-02,-0.00851995,-0.00803261,-0.01169995,-0.01285532,-0.03829105,0.01970413,0.02553552,-0.00861256,-0.03904732
2022-12-01,-0.00486181,-0.00448333,-0.01778703,-0.0036955,-0.01197078,0.00406544,0.0,-0.00997911,-0.02120894
2022-11-30,0.00721114,0.01251595,0.0091834,-0.00487559,-0.01175521,0.00974667,0.01945431,0.00548342,-0.00587753
2022-11-29,0.00662585,0.01485878,0.01795261,0.01060944,0.00266627,0.02318542,0.03505288,0.01281509,0.02708647
2022-11-28,-0.0304929,-0.02950001,-0.01894059,-0.02708308,-0.02605915,-0.01886661,-0.01328923,-0.02960291,-0.03572231
2022-11-25,-0.00352703,-0.00293526,-0.00884817,0.00063208,-0.00583554,-0.01154047,-0.00548548,-0.01188133,-0.01224175
2022-11-23,-0.00500462,-0.00891585,-0.01746487,-0.01417064,-0.01970262,-0.04226786,-0.02405196,-0.02293519,-0.00503779
2022-11-22,0.02851626,0.02533298,0.0375677,0.02946174,0.04332548,0.02587247,0.03588316,0.0446829,0.05758846
2022-11-21,-0.00995301,-0.00960939,-0.02498486,0.00036694,-0.01213554,-0.02213694,-0.01592565,-0.02357394,0.00728512
2022-11-18,-0.00870575,-0.00599326,-0.01610341,-0.00676667,-0.00210503,0.01148032,-0.02049142,-0.00294303,-0.01595779
2022-11-17,0.00132761,-0.004877,-0.00478089,0.01885894,0.01740828,-0.00302401,-0.01009037,-0.00655557,0.00480886
2022-11-16,-0.01074711,-0.01640612,-0.04628874,-0.03135684,-0.03750802,-0.0312119,-0.02762031,-0.03416566,-0.05326772
