Date,XOM,CVX,MRO,PSX,VLO,SLB,HAL,OXY,EQT,XOM,CVX,MRO,PSX,VLO,SLB,HAL,OXY,EQT,XOM,CVX,Spread,Ratio,Log_XOM,Log_CVX
2023-01-30,113.56,174.2,27.09,106.42,140.19,56.34,40.34,64.13,32.15,-0.01789113,-0.02969255,-0.04405044,-0.02147422,-0.02131344,-0.01112005,-0.00445215,-0.036891,-0.02397165,113.56,174.2,60.64,1.533990842,-0.01789113,-0.02969255
2023-01-27,115.61,179.45,28.31,108.73,143.21,56.97,40.52,66.54,32.93,-0.0184262,-0.0454277,-0.01577043,-0.02506716,-0.04605651,-0.00873826,-0.01177639,-0.00823173,-0.00514919,115.61,179.45,63.84,1.552201367,-0.0184262,-0.0454277
2023-01-26,117.76,187.79,28.76,111.49,149.96,57.47,41.0,67.09,33.1,0.03940415,0.04749168,0.03179356,0.02396411,0.0450794,0.02145703,0.02394289,0.03905975,-0.00361882,117.76,187.79,70.03,1.594684103,0.03940415,0.04749168
2023-01-25,113.21,179.08,27.86,108.85,143.35,56.25,40.03,64.52,33.22,-0.00528589,-0.00972473,0.000359,0.0170485,-0.01165143,0.01396371,0.00475774,0.00139589,-0.02936589,113.21,179.08,65.87,1.58183906,-0.00528589,-0.00972473
2023-01-24,113.81,180.83,27.85,107.01,145.03,55.47,39.84,64.43,34.21,0.00926873,0.00094055,-0.00893661,0.00065436,0.0135367,-0.00700623,-0.01815744,-0.03162258,-0.0296638,113.81,180.83,67.02,1.588876197,0.00926873,0.00094055
2023-01-23,112.76,180.66,28.1,106.94,143.08,55.86,40.57,66.5,35.24,-0.00521871,-0.00132758,0.00785999,-0.000187,0.00244918,-0.02632428,-0.00295348,-0.00614649,0.03729295,112.76,180.66,67.9,1.602163888,-0.00521871,-0.00132758
2023-01-20,113.35,180.9,27.88,106.96,142.73,57.35,40.69,66.91,33.95,0.01807144,0.01055859,0.0177316,0.02441685,0.03030104,-0.00052297,0.01236415,0.01870623,0.00058928,113.35,180.9,67.55,1.595941773,0.01807144,0.01055859
2023-01-19,111.32,179.0,27.39,104.38,138.47,57.38,40.19,65.67,33.93,0.00639844,0.00993748,0.01879547,0.0161286,0.02153446,0.00436644,-0.01014986,0.01921806,0.00828652,111.32,179.0,67.68,1.607977003,0.00639844,0.00993748
2023-01-18,110.61,177.23,26.88,102.71,135.52,57.13,40.6,64.42,33.65,-0.02075766,-0.01822705,0.00298063,0.00194913,-0.01530437,-0.02301339,-0.04644164,-0.00464613,-0.0447489,110.61,177.23,66.62,1.602296357,-0.02075766,-0.01822705
2023-01-17,112.93,180.49,26.8,102.51,137.61,58.46,42.53,64.72,35.19,-0.00194621,0.01636679,-0.01039356,-0.00505985,0.01081329,0.00308378,-0.003052,-0.00907489,0.01085725,112.93,180.49,67.56,1.598246701,-0.00194621,0.01636679
2023-01-13,113.15,177.56,27.08,103.03,136.13,58.28,42.66,65.31,34.81,-0.00061846,0.00270697,-0.01101737,0.00165137,0.00596797,0.00481597,0.01155265,-0.0065624,-0.00429985,113.15,177.56,64.41,1.569244366,-0.00061846,0.00270697
2023-01-12,113.22,177.08,27.38,102.86,135.32,58.0,42.17,65.74,34.96,0.01647484,0.01067343,0.01212581,0.01409853,0.01279208,0.0293933,0.02838093,0.02541922,0.04564865,113.22,177.08,63.86,1.564034623,0.01647484,0.01067343
2023-01-11,111.37,175.2,27.05,101.42,133.6,56.32,40.99,64.09,33.4,0.01155978,-0.00478306,0.00147984,-0.00147791,0.01197258,0.00641256,0.00122055,-0.00093575,-0.0189804,111.37,175.2,63.83,1.573134596,0.01155978,-0.00478306
2023-01-10,110.09,176.04,27.01,101.57,132.01,55.96,40.94,64.15,34.04,0.01482458,0.00489723,-0.00074019,-0.00432263,0.0263264,0.00573478,0.01228819,0.00109179,-0.01833846,110.09,176.04,65.95,1.599055318,0.01482458,0.00489723
